bigg_id	universal_bigg_id	name	model_list	database_links	old_bigg_ids
lipa_c	lipa	KDO(2)-lipid (A)	iY75_1357; iEcE24377_1341; iML1515; iECDH1ME8569_1439; iAF1260b; iECO103_1326; iNRG857_1313; iECIAI39_1322; iSBO_1134; iEcHS_1320; iETEC_1333; iECO111_1330; iLF82_1304; iECD_1391; iS_1188; iECDH10B_1368; iG2583_1286; iEcDH1_1363; iSDY_1059; iECED1_1282; iEKO11_1354; iECIAI1_1343; iSbBS512_1146; iECBD_1354; iECW_1372; iECH74115_1262; iSFV_1184; iECNA114_1301; iB21_1397; iECSP_1301; iECABU_c1320; iECO26_1355; ic_1306; iECP_1309; iJO1366; iEcSMS35_1347; iE2348C_1286; iEcolC_1368; iSF_1195; iECOK1_1307; iAF1260; iECUMN_1333; iEC042_1314; iECSE_1348; iAPECO1_1312; iECSF_1327; iBWG_1329; iECs_1301; iEC55989_1330; iECS88_1305; iECB_1328; iSFxv_1172; iSSON_1240; iUMN146_1321; iJR904; iWFL_1372; iAF987; STM_v1_0; iYL1228; iZ_1308; iUTI89_1310; iUMNK88_1353	KEGG Compound: http://identifiers.org/kegg.compound/C06026; CHEBI: http://identifiers.org/chebi/CHEBI:23656; CHEBI: http://identifiers.org/chebi/CHEBI:27963; CHEBI: http://identifiers.org/chebi/CHEBI:4476; CHEBI: http://identifiers.org/chebi/CHEBI:58540; LipidMaps: http://identifiers.org/lipidmaps/LMSL02000001; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM946; SEED Compound: http://identifiers.org/seed.compound/cpd03587	lipa; lipa_c
lipa_cold_c	lipa_cold	Cold adapted KDO(2)-lipid (A)	iEC55989_1330; iSFxv_1172; iB21_1397; iJR904; ic_1306; iWFL_1372; iEC042_1314; iSSON_1240; iJO1366; iUMN146_1321; iECABU_c1320; iUMNK88_1353; iE2348C_1286; iYL1228; iSF_1195; iUTI89_1310; iAF1260; iZ_1308; iAPECO1_1312; STM_v1_0; iBWG_1329; iG2583_1286; iECB_1328; iNRG857_1313; iML1515; iSbBS512_1146; iAF1260b; iSFV_1184; iY75_1357; iS_1188; iECUMN_1333; iEKO11_1354; iECSE_1348; iSDY_1059; iECS88_1305; iSBO_1134; iEcSMS35_1347; iLF82_1304; iECO26_1355; iETEC_1333; iEcolC_1368; iECW_1372; iECs_1301; iEcDH1_1363; iECP_1309; iECED1_1282; iECSF_1327; iECH74115_1262; iECOK1_1307; iEcE24377_1341; iECSP_1301; iECIAI39_1322; iECD_1391; iECBD_1354; iECNA114_1301; iECDH10B_1368; iEcHS_1320; iECIAI1_1343; iECDH1ME8569_1439; iECO111_1330; iECO103_1326	CHEBI: http://identifiers.org/chebi/CHEBI:61522; CHEBI: http://identifiers.org/chebi/CHEBI:61556; BioCyc: http://identifiers.org/biocyc/META:KDO2-LIPID-IVA-COLD; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM6016; SEED Compound: http://identifiers.org/seed.compound/cpd15493	lipa_cold; lipa_cold_c
lipidAds_c	lipidAds	Lipid A Disaccharide	iAF1260b; iECs_1301; iML1515; iECOK1_1307; iY75_1357; iECSP_1301; iECBD_1354; iECS88_1305; iEcHS_1320; iECP_1309; iECNA114_1301; iECSF_1327; iECD_1391; iEcolC_1368; iEcE24377_1341; iECUMN_1333; iECDH10B_1368; iECO26_1355; iECO111_1330; iECSE_1348; iEcDH1_1363; iEcSMS35_1347; iECIAI1_1343; iSbBS512_1146; iECDH1ME8569_1439; iECW_1372; iECO103_1326; iETEC_1333; iECIAI39_1322; iLF82_1304; iECED1_1282; iEKO11_1354; iECH74115_1262; iNRG857_1313; iUTI89_1310; iS_1188; iUMN146_1321; iSFV_1184; STM_v1_0; iG2583_1286; iSSON_1240; iSBO_1134; iSFxv_1172; iSDY_1059; iYL1228; iB21_1397; iAF987; iPC815; iZ_1308; iECB_1328; iUMNK88_1353; ic_1306; iJN678; iEC55989_1330; iWFL_1372; iJO1366; iJR904; iE2348C_1286; iSF_1195; iAF1260; iEC042_1314; iAPECO1_1312; iECABU_c1320; iBWG_1329	KEGG Compound: http://identifiers.org/kegg.compound/C04932; CHEBI: http://identifiers.org/chebi/CHEBI:11414; CHEBI: http://identifiers.org/chebi/CHEBI:11415; CHEBI: http://identifiers.org/chebi/CHEBI:18380; CHEBI: http://identifiers.org/chebi/CHEBI:19293; CHEBI: http://identifiers.org/chebi/CHEBI:58466; CHEBI: http://identifiers.org/chebi/CHEBI:862; BioCyc: http://identifiers.org/biocyc/META:BISOHMYR-GLC; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM1569; SEED Compound: http://identifiers.org/seed.compound/cpd03002	lipidAds; lipidAds_c
lipidX_c	lipidX	2,3-Bis(3-hydroxytetradecanoyl)-beta-D-glucosaminyl 1-phosphate	iUMN146_1321; iPC815; STM_v1_0; iB21_1397; iJN678; iEC55989_1330; iAF987; ic_1306; iSFxv_1172; iJO1366; iSSON_1240; iE2348C_1286; iYL1228; iSF_1195; iUTI89_1310; iECABU_c1320; iZ_1308; iAF1260; iWFL_1372; iEC042_1314; iUMNK88_1353; iAPECO1_1312; iJR904; iECB_1328; iECUMN_1333; iBWG_1329; iECSF_1327; iAF1260b; iEcSMS35_1347; iY75_1357; iECs_1301; iML1515; iECSP_1301; iLF82_1304; iEcolC_1368; iECW_1372; iECOK1_1307; iS_1188; iECP_1309; iSBO_1134; iECS88_1305; iSFV_1184; iECSE_1348; iETEC_1333; iECO26_1355; iSDY_1059; iECNA114_1301; iG2583_1286; iECED1_1282; iEKO11_1354; iECD_1391; iSbBS512_1146; iECDH1ME8569_1439; iNRG857_1313; iEcE24377_1341; iECO111_1330; iECIAI39_1322; iECIAI1_1343; iECO103_1326; iECH74115_1262; iEcHS_1320; iEcDH1_1363; iECBD_1354; iECDH10B_1368	KEGG Compound: http://identifiers.org/kegg.compound/C04824; CHEBI: http://identifiers.org/chebi/CHEBI:11413; CHEBI: http://identifiers.org/chebi/CHEBI:16942; CHEBI: http://identifiers.org/chebi/CHEBI:19303; CHEBI: http://identifiers.org/chebi/CHEBI:57957; CHEBI: http://identifiers.org/chebi/CHEBI:870; LipidMaps: http://identifiers.org/lipidmaps/LMSL01020001; BioCyc: http://identifiers.org/biocyc/META:BISOHMYR-GLUCOSAMINYL-1P; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM1839; SEED Compound: http://identifiers.org/seed.compound/cpd02930; SEED Compound: http://identifiers.org/seed.compound/cpd29679	lipidX; lipidX_c
lipopb_c	lipopb	Lipoate (protein bound)	iY75_1357; iUTI89_1310; iML1515; iZ_1308; iJB785; iWFL_1372; iEC55989_1330; iUMNK88_1353; ic_1306; iUMN146_1321; iE2348C_1286; iSSON_1240; iSF_1195; iS_1188; iJO1366; iEKO11_1354; iECBD_1354; iSFxv_1172; iEC042_1314; iSDY_1059; iAPECO1_1312; iETEC_1333; iECB_1328; iSbBS512_1146; iBWG_1329; iSFV_1184; iECABU_c1320; iG2583_1286; iB21_1397; iLF82_1304; iECED1_1282; iNRG857_1313; iECIAI39_1322; iSBO_1134; iECIAI1_1343; iECSE_1348; iECO26_1355; iECSF_1327; iECDH10B_1368; iECS88_1305; iEcE24377_1341; iEcolC_1368; iECO103_1326; iECW_1372; iECNA114_1301; iECSP_1301; iECDH1ME8569_1439; iECP_1309; iECD_1391; iECs_1301; iEcHS_1320; iEcSMS35_1347; iECH74115_1262; iECOK1_1307; iECO111_1330; iECUMN_1333; iEcDH1_1363	MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM147499	lipopb; lipopb_c
lystrna_c	lystrna	L-Lysine-tRNA (Lys)	iJB785; iMM904; iY75_1357; iB21_1397; iLJ478; iPC815; iLB1027_lipid; ic_1306; iNF517; iSB619; iAF1260b; iJO1366; iAF692; iE2348C_1286; iECSP_1301; iECB_1328; iEcolC_1368; iECABU_c1320; iECSF_1327; iSF_1195; iECO26_1355; iAF1260; iECOK1_1307; iEC042_1314; iECSE_1348; iJN746; iECS88_1305; iAPECO1_1312; iEcSMS35_1347; iBWG_1329; iECUMN_1333; iEC55989_1330; iECs_1301; iND750; iECP_1309; iECD_1391; iEKO11_1354; iECH74115_1262; iSBO_1134; iECIAI39_1322; iETEC_1333; iECDH10B_1368; iSDY_1059; iEcHS_1320; iLF82_1304; iECIAI1_1343; iSFV_1184; iECNA114_1301; iSbBS512_1146; iECO111_1330; iS_1188; iECBD_1354; iNRG857_1313; iECDH1ME8569_1439; iG2583_1286; iECO103_1326; iECW_1372; iEcE24377_1341; iUMNK88_1353; iEcDH1_1363; iWFL_1372; iECED1_1282; iZ_1308; iJN678; STM_v1_0; iAF987; iUMN146_1321; iSSON_1240; iYL1228; iSFxv_1172; iUTI89_1310	Reactome: http://www.reactome.org/content/detail/R-ALL-379736; Reactome: http://www.reactome.org/content/detail/R-ALL-379795; KEGG Compound: http://identifiers.org/kegg.compound/C01931; CHEBI: http://identifiers.org/chebi/CHEBI:13137; CHEBI: http://identifiers.org/chebi/CHEBI:13138; CHEBI: http://identifiers.org/chebi/CHEBI:16047; CHEBI: http://identifiers.org/chebi/CHEBI:6267; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM89922; SEED Compound: http://identifiers.org/seed.compound/cpd01326; SEED Compound: http://identifiers.org/seed.compound/cpd15249	lystrna; lystrna[c]; lystrna_c
malcoame_c	malcoame	Malonyl-CoA methyl ester	iJB785; iSDY_1059; iML1515; iETEC_1333; iY75_1357; iSbBS512_1146; iECOK1_1307; iS_1188; iEcolC_1368; iLF82_1304; iECO26_1355; iSBO_1134; iECS88_1305; iEKO11_1354; iECSF_1327; iNRG857_1313; iEcSMS35_1347; iECW_1372; iECP_1309; iG2583_1286; iECUMN_1333; iSFV_1184; iECSP_1301; iECD_1391; iECs_1301; iECH74115_1262; iECSE_1348; iECO103_1326; iECB_1328; iECBD_1354; iB21_1397; iECIAI39_1322; ic_1306; iECIAI1_1343; iECABU_c1320; iEcE24377_1341; iE2348C_1286; iEcHS_1320; iJO1366; iEcDH1_1363; iEC55989_1330; iECNA114_1301; iSF_1195; iECED1_1282; iEC042_1314; iECO111_1330; iAPECO1_1312; iECDH10B_1368; iBWG_1329; iECDH1ME8569_1439; iUTI89_1310; iWFL_1372; iZ_1308; iSSON_1240; iSFxv_1172; iAF987; iUMNK88_1353; iUMN146_1321	CHEBI: http://identifiers.org/chebi/CHEBI:71242; CHEBI: http://identifiers.org/chebi/CHEBI:71244; LipidMaps: http://identifiers.org/lipidmaps/LMFA07050346; BioCyc: http://identifiers.org/biocyc/META:CPD-12454; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM97130; SEED Compound: http://identifiers.org/seed.compound/cpd20921	malcoame; malcoame_c
malt_c	malt	Maltose C12H22O11	iB21_1397; iUTI89_1310; iMM904; iUMN146_1321; iPC815; iZ_1308; ic_1306; iSSON_1240; iECB_1328; STM_v1_0; iSB619; iYL1228; iE2348C_1286; iMM1415; iSF_1195; iJR904; iECABU_c1320; iWFL_1372; iJO1366; iUMNK88_1353; iAF1260; iJN678; iAPECO1_1312; iAF987; iEC55989_1330; iSFxv_1172; iNJ661; iSBO_1134; iBWG_1329; iS_1188; iEC042_1314; iG2583_1286; iND750; iEKO11_1354; Recon3D; iSbBS512_1146; iML1515; iECW_1372; iAF1260b; iSDY_1059; iLJ478; iSFV_1184; iYO844; iETEC_1333; iHN637; iLF82_1304; iY75_1357; iNRG857_1313; RECON1; iECO111_1330; iNF517; iECIAI39_1322; iCHOv1; iECH74115_1262; iECSF_1327; iECO26_1355; iECOK1_1307; iECD_1391; iECSE_1348; iEcDH1_1363; iECUMN_1333; iECDH1ME8569_1439; iEcolC_1368; iECBD_1354; iECP_1309; iECDH10B_1368; iECSP_1301; iECO103_1326; iECs_1301; iECNA114_1301; iEcSMS35_1347; iEcE24377_1341; iECS88_1305; iECED1_1282; iECIAI1_1343; iEcHS_1320	Reactome: http://www.reactome.org/content/detail/R-ALL-188986; Reactome: http://www.reactome.org/content/detail/R-ALL-868706; KEGG Compound: http://identifiers.org/kegg.compound/C00208; KEGG Compound: http://identifiers.org/kegg.compound/C00897; CHEBI: http://identifiers.org/chebi/CHEBI:10300; CHEBI: http://identifiers.org/chebi/CHEBI:12340; CHEBI: http://identifiers.org/chebi/CHEBI:14568; CHEBI: http://identifiers.org/chebi/CHEBI:17306; CHEBI: http://identifiers.org/chebi/CHEBI:18167; CHEBI: http://identifiers.org/chebi/CHEBI:22463; CHEBI: http://identifiers.org/chebi/CHEBI:25144; CHEBI: http://identifiers.org/chebi/CHEBI:43893; CHEBI: http://identifiers.org/chebi/CHEBI:6668; KEGG Drug: http://identifiers.org/kegg.drug/D00044; KEGG Compound: http://identifiers.org/kegg.compound/G00275; BioCyc: http://identifiers.org/biocyc/META:ALPHA-MALTOSE; BioCyc: http://identifiers.org/biocyc/META:MALTOSE; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM165; SEED Compound: http://identifiers.org/seed.compound/cpd00179; SEED Compound: http://identifiers.org/seed.compound/cpd00665	malt; malt[c]; malt_c
malt6p_c	malt6p	Maltose 6'-phosphate	iECSP_1301; iEcE24377_1341; iECSE_1348; iECH74115_1262; iECOK1_1307; iECO103_1326; iECUMN_1333; iEcHS_1320; iEcSMS35_1347; iECIAI1_1343; iECs_1301; iECIAI39_1322; iEcolC_1368; iECDH1ME8569_1439; iECO26_1355; iECDH10B_1368; iECP_1309; iECNA114_1301; iECSF_1327; iEcDH1_1363; iECS88_1305; iECED1_1282; iUMNK88_1353; iECBD_1354; iJR904; iECO111_1330; STM_v1_0; iECD_1391; iSSON_1240; iPC815; iUMN146_1321; iB21_1397; iSFxv_1172; iJO1366; iWFL_1372; ic_1306; iYL1228; iEC55989_1330; iUTI89_1310; iECB_1328; iZ_1308; iSF_1195; iML1515; iAF1260; iY75_1357; iEC042_1314; iAF1260b; iE2348C_1286; iYO844; iECABU_c1320; iECW_1372; iAPECO1_1312; iSbBS512_1146; iBWG_1329; iSFV_1184; iLF82_1304; iS_1188; iEKO11_1354; iSBO_1134; iSDY_1059; iNRG857_1313; iG2583_1286; iETEC_1333	KEGG Compound: http://identifiers.org/kegg.compound/C02995; CHEBI: http://identifiers.org/chebi/CHEBI:111006; CHEBI: http://identifiers.org/chebi/CHEBI:14569; CHEBI: http://identifiers.org/chebi/CHEBI:15703; CHEBI: http://identifiers.org/chebi/CHEBI:25142; CHEBI: http://identifiers.org/chebi/CHEBI:57478; CHEBI: http://identifiers.org/chebi/CHEBI:6669; CHEBI: http://identifiers.org/chebi/CHEBI:6670; CHEBI: http://identifiers.org/chebi/CHEBI:91177; KEGG Compound: http://identifiers.org/kegg.compound/G10519; BioCyc: http://identifiers.org/biocyc/META:CPD-1244; BioCyc: http://identifiers.org/biocyc/META:CPD-15982; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM2394; SEED Compound: http://identifiers.org/seed.compound/cpd01919	malt6p; malt6p_c
malthx_c	malthx	Maltohexaose	iECO26_1355; iUTI89_1310; iECDH1ME8569_1439; iYL1228; iECIAI39_1322; STM_v1_0; iECBD_1354; iZ_1308; iEcDH1_1363; iSSON_1240; iECIAI1_1343; iUMNK88_1353; iECH74115_1262; iAF987; iECED1_1282; iWFL_1372; iEcE24377_1341; iUMN146_1321; iECNA114_1301; iJR904; iEcHS_1320; iB21_1397; iECDH10B_1368; iECB_1328; iECD_1391; iECABU_c1320; iECO111_1330; ic_1306; iECO103_1326; iPC815; iSDY_1059; iE2348C_1286; iSFV_1184; iSF_1195; iSbBS512_1146; iJO1366; iEKO11_1354; iEC55989_1330; iG2583_1286; iAF1260; iETEC_1333; iAPECO1_1312; iNRG857_1313; iBWG_1329; iS_1188; iEC042_1314; iLF82_1304; iNF517; iSFxv_1172; iHN637; iSBO_1134; iYO844; iECW_1372; iCHOv1; iECSF_1327; iML1515; iECS88_1305; iY75_1357; iECSP_1301; iAF1260b; iECSE_1348; iECP_1309; iEcolC_1368; iECs_1301; iEcSMS35_1347; iECOK1_1307; iECUMN_1333	KEGG Compound: http://identifiers.org/kegg.compound/C01936; CHEBI: http://identifiers.org/chebi/CHEBI:25141; CHEBI: http://identifiers.org/chebi/CHEBI:27445; CHEBI: http://identifiers.org/chebi/CHEBI:61953; CHEBI: http://identifiers.org/chebi/CHEBI:6667; KEGG Compound: http://identifiers.org/kegg.compound/G00755; Human Metabolome Database: http://identifiers.org/hmdb/HMDB12253; BioCyc: http://identifiers.org/biocyc/META:MALTOHEXAOSE; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM1317; SEED Compound: http://identifiers.org/seed.compound/cpd01329	malthx; malthx[c]; malthx_c
maltpt_c	maltpt	Maltopentaose	iNF517; iECP_1309; iAF1260b; iEcSMS35_1347; iY75_1357; iECS88_1305; iYO844; iECSF_1327; iCHOv1; iECSP_1301; iML1515; iECs_1301; iECO111_1330; iECUMN_1333; iEcDH1_1363; iEcolC_1368; iECH74115_1262; iECSE_1348; iECDH10B_1368; iECO26_1355; iECDH1ME8569_1439; iECOK1_1307; iECNA114_1301; iWFL_1372; iECD_1391; iAF987; iECBD_1354; iJR904; iEcE24377_1341; iSFxv_1172; iECIAI1_1343; iZ_1308; iEcHS_1320; STM_v1_0; iECO103_1326; iUMNK88_1353; iECIAI39_1322; iUMN146_1321; iECED1_1282; iYL1228; iNRG857_1313; iUTI89_1310; iG2583_1286; iSSON_1240; iETEC_1333; iB21_1397; iSDY_1059; iSF_1195; iLF82_1304; iPC815; iS_1188; ic_1306; iECW_1372; iE2348C_1286; iEKO11_1354; iJO1366; iSBO_1134; iAF1260; iSbBS512_1146; iECABU_c1320; iSFV_1184; iAPECO1_1312; iECB_1328; iNJ661; iEC042_1314; iEC55989_1330; iBWG_1329	CHEBI: http://identifiers.org/chebi/CHEBI:61952; CHEBI: http://identifiers.org/chebi/CHEBI:62006; KEGG Compound: http://identifiers.org/kegg.compound/G00343; Human Metabolome Database: http://identifiers.org/hmdb/HMDB12254; BioCyc: http://identifiers.org/biocyc/META:MALTOPENTAOSE; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM1538; SEED Compound: http://identifiers.org/seed.compound/cpd15495	maltpt; maltpt[c]; maltpt_c
maltttr_c	maltttr	Maltotetraose	iCHOv1; iECO26_1355; iYO844; iECO111_1330; iAF1260b; iECNA114_1301; iNF517; iECIAI39_1322; iML1515; iECO103_1326; iLJ478; iECDH10B_1368; iY75_1357; iEcHS_1320; Recon3D; iECED1_1282; iSSON_1240; iECBD_1354; iZ_1308; iEcE24377_1341; STM_v1_0; iEcDH1_1363; iWFL_1372; iECH74115_1262; iJR904; iECDH1ME8569_1439; iAF987; iECD_1391; iUMN146_1321; iECIAI1_1343; iUTI89_1310; iB21_1397; iSFxv_1172; iSF_1195; iYL1228; iPC815; iUMNK88_1353; ic_1306; iLF82_1304; iECABU_c1320; iSDY_1059; iE2348C_1286; iS_1188; iJO1366; iSFV_1184; iEC55989_1330; iNRG857_1313; iEC042_1314; iEKO11_1354; iAF1260; iSbBS512_1146; iAPECO1_1312; iSBO_1134; iBWG_1329; iECW_1372; iECB_1328; iETEC_1333; iECOK1_1307; iG2583_1286; iECS88_1305; iEcSMS35_1347; iECSP_1301; iEcolC_1368; iECs_1301; iECUMN_1333; iECSF_1327; iECSE_1348; iECP_1309	KEGG Compound: http://identifiers.org/kegg.compound/C02013; KEGG Compound: http://identifiers.org/kegg.compound/C02052; CHEBI: http://identifiers.org/chebi/CHEBI:25145; CHEBI: http://identifiers.org/chebi/CHEBI:28460; CHEBI: http://identifiers.org/chebi/CHEBI:44299; CHEBI: http://identifiers.org/chebi/CHEBI:61988; CHEBI: http://identifiers.org/chebi/CHEBI:62974; CHEBI: http://identifiers.org/chebi/CHEBI:6671; KEGG Compound: http://identifiers.org/kegg.compound/G00459; Human Metabolome Database: http://identifiers.org/hmdb/HMDB01296; BioCyc: http://identifiers.org/biocyc/META:CPD-13205; BioCyc: http://identifiers.org/biocyc/META:CPD0-2595; BioCyc: http://identifiers.org/biocyc/META:MALTOTETRAOSE; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM5663; SEED Compound: http://identifiers.org/seed.compound/cpd01376; SEED Compound: http://identifiers.org/seed.compound/cpd01399	maltttr; maltttr[c]; maltttr_c
man1p_c	man1p	D-Mannose 1-phosphate	iECBD_1354; iMM904; iECO103_1326; iECABU_c1320; iECNA114_1301; iB21_1397; iECIAI1_1343; iPC815; iEcHS_1320; ic_1306; iECD_1391; iSB619; iECED1_1282; iE2348C_1286; iECH74115_1262; iJO1366; iECIAI39_1322; iSF_1195; iEcE24377_1341; iEC042_1314; iEcDH1_1363; iAF1260; iECDH1ME8569_1439; iEC55989_1330; iECO111_1330; iECB_1328; iECDH10B_1368; iIT341; iJB785; iAPECO1_1312; iML1515; iNJ661; RECON1; iBWG_1329; iAF692; iND750; iAF1260b; iETEC_1333; iY75_1357; iNRG857_1313; iYO844; iSBO_1134; iAB_RBC_283; iSbBS512_1146; iRC1080; iSDY_1059; iHN637; iEKO11_1354; iCHOv1; iS_1188; iLB1027_lipid; iLF82_1304; iECP_1309; iG2583_1286; iECOK1_1307; iSFV_1184; iECSF_1327; iECW_1372; iECSP_1301; iSFxv_1172; iECO26_1355; iUTI89_1310; iECUMN_1333; iJN678; iEcSMS35_1347; iZ_1308; iEcolC_1368; iUMN146_1321; iECSE_1348; iWFL_1372; iECs_1301; iJR904; iECS88_1305; iAF987; Recon3D; iYL1228; iSSON_1240; STM_v1_0; iUMNK88_1353; iMM1415	Reactome: http://www.reactome.org/content/detail/R-ALL-532531; KEGG Compound: http://identifiers.org/kegg.compound/C00636; CHEBI: http://identifiers.org/chebi/CHEBI:10261; CHEBI: http://identifiers.org/chebi/CHEBI:12327; CHEBI: http://identifiers.org/chebi/CHEBI:18205; CHEBI: http://identifiers.org/chebi/CHEBI:21058; CHEBI: http://identifiers.org/chebi/CHEBI:22404; CHEBI: http://identifiers.org/chebi/CHEBI:35374; CHEBI: http://identifiers.org/chebi/CHEBI:4210; CHEBI: http://identifiers.org/chebi/CHEBI:43854; CHEBI: http://identifiers.org/chebi/CHEBI:58409; Human Metabolome Database: http://identifiers.org/hmdb/HMDB01436; Human Metabolome Database: http://identifiers.org/hmdb/HMDB06330; BioCyc: http://identifiers.org/biocyc/META:MANNOSE-1P; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM721; SEED Compound: http://identifiers.org/seed.compound/cpd00485	man1p; man1p[c]; man1p_c
man6pglyc_c	man6pglyc	2(alpha-D-Mannosyl-6-phosphate)-D-glycerate	iB21_1397; iSDY_1059; iPC815; iECW_1372; ic_1306; iG2583_1286; iECB_1328; iSFV_1184; iJO1366; iSbBS512_1146; iSF_1195; iSBO_1134; iAF1260; iLF82_1304; iEC042_1314; iS_1188; iEC55989_1330; iEKO11_1354; iAPECO1_1312; iNRG857_1313; iECABU_c1320; iETEC_1333; iBWG_1329; iAF1260b; iZ_1308; iML1515; iSFxv_1172; iY75_1357; iSSON_1240; iECO26_1355; iUMNK88_1353; iECSF_1327; iUTI89_1310; iEcolC_1368; iWFL_1372; iECOK1_1307; iUMN146_1321; iECs_1301; iEcE24377_1341; iECS88_1305; iEcHS_1320; iEcSMS35_1347; iECBD_1354; iECSE_1348; iECDH10B_1368; iECUMN_1333; iECED1_1282; iECSP_1301; iECDH1ME8569_1439; iECP_1309; iECH74115_1262; iEcDH1_1363; iECNA114_1301; iECO111_1330; iECIAI39_1322; iECIAI1_1343; iECD_1391; iECO103_1326	KEGG Compound: http://identifiers.org/kegg.compound/C16699; CHEBI: http://identifiers.org/chebi/CHEBI:60331; CHEBI: http://identifiers.org/chebi/CHEBI:61001; Human Metabolome Database: http://identifiers.org/hmdb/HMDB12152; BioCyc: http://identifiers.org/biocyc/META:CPD0-1063; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM3470; SEED Compound: http://identifiers.org/seed.compound/cpd15496; SEED Compound: http://identifiers.org/seed.compound/cpd16506	man6pglyc; man6pglyc_c
mana_c	mana	D-Mannonate	iJR904; iECO103_1326; iUMNK88_1353; iECDH10B_1368; iYL1228; iEcDH1_1363; STM_v1_0; iECBD_1354; iUTI89_1310; iECD_1391; iSFxv_1172; iECIAI1_1343; iUMN146_1321; iEcE24377_1341; iSSON_1240; iEcHS_1320; iZ_1308; iECH74115_1262; iWFL_1372; iECO111_1330; iB21_1397; iECED1_1282; iEC55989_1330; iECDH1ME8569_1439; iPC815; iECNA114_1301; ic_1306; iECIAI39_1322; iECB_1328; iEKO11_1354; iJO1366; iLF82_1304; iSF_1195; iETEC_1333; iE2348C_1286; iSbBS512_1146; iEC042_1314; iNRG857_1313; iAF1260; iG2583_1286; iAPECO1_1312; iS_1188; iECABU_c1320; iSFV_1184; iBWG_1329; iSBO_1134; iECS88_1305; iECW_1372; iECs_1301; iAF1260b; iECSE_1348; iY75_1357; iECSP_1301; iML1515; iECUMN_1333; iNF517; iECOK1_1307; iLJ478; iECSF_1327; iYO844; iEcolC_1368; iECP_1309; iECO26_1355; iEcSMS35_1347	KEGG Compound: http://identifiers.org/kegg.compound/C00514; CHEBI: http://identifiers.org/chebi/CHEBI:12998; CHEBI: http://identifiers.org/chebi/CHEBI:17767; CHEBI: http://identifiers.org/chebi/CHEBI:21052; CHEBI: http://identifiers.org/chebi/CHEBI:21053; CHEBI: http://identifiers.org/chebi/CHEBI:33076; CHEBI: http://identifiers.org/chebi/CHEBI:4206; CHEBI: http://identifiers.org/chebi/CHEBI:49545; CHEBI: http://identifiers.org/chebi/CHEBI:58654; BioCyc: http://identifiers.org/biocyc/META:D-MANNONATE; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM1045; SEED Compound: http://identifiers.org/seed.compound/cpd00403	mana; mana[c]; mana_c
mdhdhf_c	mdhdhf	(2R,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one	iS_1188; iECSE_1348; iSBO_1134; iECSF_1327; iSDY_1059; iEcolC_1368; iLF82_1304; iECP_1309; iECW_1372; iECs_1301; iEKO11_1354; iECSP_1301; iNRG857_1313; iECS88_1305; iETEC_1333; iECO26_1355; iSFV_1184; iECOK1_1307; iG2583_1286; iEcSMS35_1347; iSbBS512_1146; iECUMN_1333; iEcDH1_1363; iUTI89_1310; iECDH1ME8569_1439; iSFxv_1172; iECO103_1326; iUMN146_1321; iECIAI1_1343; iUMNK88_1353; iECBD_1354; iSSON_1240; iECDH10B_1368; iZ_1308; iECIAI39_1322; iWFL_1372; iECED1_1282; iHN637; iEcHS_1320; iY75_1357; iECNA114_1301; iML1515; iEcE24377_1341; iB21_1397; iECD_1391; iEC042_1314; iECO111_1330; iECABU_c1320; iECH74115_1262; ic_1306; iEC55989_1330; iE2348C_1286; iECB_1328; iJO1366; iSF_1195; iAPECO1_1312; iBWG_1329	CHEBI: http://identifiers.org/chebi/CHEBI:71316; BioCyc: http://identifiers.org/biocyc/META:CPD-10773; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM9407; SEED Compound: http://identifiers.org/seed.compound/cpd22811	mdhdhf; mdhdhf[c]; mdhdhf_c
